Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Chris Redfern	1	"The Ohio Democratic Party has raised $1.1 million since the November election. A very small percentage of that has come from organized labor."	Only 6 percent, but direct campaigning doesn't count	/ohio/statements/2011/may/17/chris-redfern/ohio-democratic-party-chair-chris-redfern-says-don/	
Chris Redfern	2	"Six out of 10 of the highest unemployment rates are also in so-called right to work states."	No proof of cause and effect 	/ohio/statements/2013/may/06/chris-redfern/ohio-democratic-party-chairman-chris-redfern-ties-/	
Chris Redfern	2	"Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee."	Kasich? What about Bob? Kasten, that is	/ohio/statements/2012/aug/17/chris-redfern/ohio-democratic-party-chairman-chris-redfern-says-/	
Michael Solomon	3	"Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent."	Statistic itself is premature	/rhode-island/statements/2014/apr/20/michael-solomon/providence-city-council-president-michael-solomon-/	
Russ  Feingold	0	Says Ron Johnson "opposes entirely a federal minimum wage," except perhaps for "guest workers."	Johnson doesn't dispute statement	/wisconsin/statements/2015/aug/27/russ-feingold/us-sen-ron-johnson-wants-no-general-federal-minimu/	
Russ  Feingold	0	Says Ron Johnson "likes to say there are too many lawyers in the Senate  57. Hed be the 70th millionaire."	The post-election mix will be different, but there are 69 already	/wisconsin/statements/2010/oct/22/russ-feingold/russ-feingold-says-ron-johnson-would-become-70th-m/	
Russ  Feingold	1	Says U.S. Senate opponent Ron Johnson "is opposed to all government-assisted student loans."	Longtime critic of federal role	/wisconsin/statements/2015/jun/19/russ-feingold/ron-johnson-against-all-government-assisted-studen/	
Russ  Feingold	2	"The United States still ranks 20th in the world in access to broadband -- over 50 percent below the best nations."	Ranking is for wired broadband. We fare much better on mobile 	/wisconsin/statements/2015/jun/17/russ-feingold/russ-feingold-says-us-ranks-20th-access-broadband-/	
Russ  Feingold	2	"According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals."	The number is the best available, but leaves out jobs gained through trade deals	/wisconsin/statements/2010/oct/12/russ-feingold/sen-russ-feingold-says-unfair-trade-deals-have-cos/	
Russ  Feingold	2	Says Ron Johnsons company got government loans and a grant to help expand his business	Behind all the misleading splicing and dicing, there is some truth	/wisconsin/statements/2010/sep/18/russ-feingold/russ-feingold-says-opponent-ron-johnsons-business-/	
Russ  Feingold	3	Ron Johnson is "willing to hand over the Great Lakes to the oil companies."	When drilling for an advantage, make sure you're on target	/wisconsin/statements/2010/sep/03/russ-feingold/russ-feingold-says-ron-johnson-willing-hand-over-g/	
Russ  Feingold	5	"I've been outspent by my opponents every time I've run for U.S. Senate."	With this new math, everyone would be outspent by everyone	/wisconsin/statements/2010/sep/20/russ-feingold/russ-feingold-says-hes-been-outspent-opponents-eve/	
Valarie Wilson	2	SaysDemocratic candidate for state school superintendent Alisha Thomas Morgan voted to slash funding for the preschool programs for disabled and special needs students.	Complaint doesn't completely add up	/georgia/statements/2014/may/27/valarie-wilson/georgia-superintendent-candidate-criticizes-oppone/	
Chris Gregoire	2	Says Washington state has "consistently ranked in the top five in the Forbes list of best states to do business  ahead of Texas."	Evergreen leads Lone Star in three of five rankings	/texas/statements/2010/nov/05/chris-gregoire/washington-state-gov-chris-gregoire-says-washingto/	
Matt Lundy	0	"The substitute budget now adds in tax breaks and tax deductions for those who buy these prisons."	Purchases at this 'yard sale' might end up tax free	/ohio/statements/2011/may/12/matt-lundy/state-rep-matt-lundy-says-house-gop-added-extra-ta/	
Matt Lundy	0	"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential."	Trade secrets exception casts a wide net	/ohio/statements/2011/feb/15/matt-lundy/state-rep-matt-lundy-says-state-records-laws-alrea/	
Phil Kent	4	The newly created state Immigration Enforcement Review Board "can actually prosecute, and get them [violators] into jail, if we bring in the attorney general."	Actually, they can't	/georgia/statements/2011/oct/21/phil-kent/kent-immigration-board-can-prosecute-attorney-gene/	
US Uncut	1	Says Indiana Gov. Mike Pence "provides zero state funding for homeless shelters."	No state dollars for homeless shelters	/punditfact/statements/2015/apr/06/us-uncut/advocacy-group-compares-gov-pence-jesus-unfavorabl/	
Matthew Cooke	3	The United States has "more of our people in prison than Russia, China, and North Korea combined."	Writer corrected column	/punditfact/statements/2014/dec/16/matthew-cooke/us-prison-population-big-russia-china-and-north-ko/	
Tim James	4	Says a Bureau of Labor Statistics report attributed a sharp increase in  work-related fatalities to "increasing numbers of employees and drivers  could not read or understand warning signs in English."	The report doesn't say that	/truth-o-meter/statements/2010/apr/29/tim-james/alabamas-tim-james-says-government-report-backs-hi/	
Ken Paxton	0	"At the beginning of World War II, we had a relatively small army, smaller than Portugals."	Smaller than Bulgaria's army too	/texas/statements/2014/jun/13/ken-paxton/us-army-was-smaller-army-portugal-world-war-ii/	
Ken Paxton	1	Barry Smitherman "doesnt have enough legal experience to apply for most of the jobs at the attorney generals office."	Most of the lawyering jobs	/texas/statements/2014/feb/26/ken-paxton/most-lawyer-jobs-ags-office-require-three-years-ex/	
Ken Paxton	4	Dan Branch "once lobbied for the AFL-CIO."	Bending Branch	/texas/statements/2014/may/15/ken-paxton/dan-branch-registered-lobby-ohio-union-not-afl-cio/	
Violence Policy Center	0	Georgia ranks No. 9 in the rate of women murdered by men.	State also in top 10 for overall homicide rate	/georgia/statements/2014/nov/19/violence-policy-center/study-correct-georgias-gender-based-murder-rate/	
L.C. "Buster" Evans	1	"It has been many years, if ever, since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults."	55,000 inmates are in Georgia prisons	/georgia/statements/2014/dec/16/lc-buster-evans/politifact-high-school-diplomas-will-be-new-under-/	
Rob Teilhet	3	Said he is the only Democratic candidate for state attorney general who  has "represented the entire state of Georgia."	Candidate's claim he represented the state could have been more precise	/georgia/statements/2010/jul/06/rob-teilhet/did-lawmaker-cobb-represent-entire-state/	
Rob Teilhet	4	"Ken Hodges badly botched this investigation and, as a result, justice wasn't done in this case."	Teilhet's argument about legal case shows flaws	/georgia/statements/2010/jul/15/rob-teilhet/candidate-says-opponent-botched-prosecution-fatal-/	
Milly Silva	1	"Property taxes have increased 20 percent under four years of Chris Christie."	Property taxes have increased	/new-jersey/statements/2013/oct/20/milly-silva/milly-silva-claims-property-taxes-have-climbed-20-/	
John Faulk	4	Says Houstons 18th  congressional district has been gentrified and is home to more Anglos  than African Americans.	Start by categorizing Hispanics as whites...	/texas/statements/2010/jun/30/john-faulk/faulk-says-center-city-houston-congressional-distr/	
Dale Earnhardt Jr.	0	"The Republican from Georgia [U.S. Rep. Jack Kingston], he hasnt even been to a NASCAR race."	Strange but true	/georgia/statements/2012/may/30/dale-earnhardt-jr/dale-earnhardt-jr-accuses-congressman-never-attend/	
Mr. Conservative	4	"According to (Barack) Obamas newest unconstitutionally enacted law, health care professionals are now required to violate HIPAA privacy laws and submit medical data to the government," which is "then used as justification for gun confiscation."	Largely off-target	/truth-o-meter/statements/2014/feb/06/mr-conservative/conservative-website-says-barack-obama-signed-law-/	
Mr. Conservative	5	Says the Obama administration is handing out a pamphlet titled, "What To Do When The Veteran In Your Classroom Attempts A Mass Shooting"	It's satire, folks, just satire	/truth-o-meter/statements/2013/nov/12/mr-conservative/obama-admin-pamphlet-veteran-mass-shooting/	
Dream Defenders	2	"Over 12,000 school kids were arrested in Florida. It makes Florida the nation's leader in that area."	Comprehensive data is lacking for state-by-state comparisons	/florida/statements/2013/jul/30/dream-defenders/over-12000-school-kids-were-arrested-florida-it-ma/	
Paul Workman	0	Says Holly Turner "failed to vote in five straight Republican primaries."	She voted in the last two, though	/texas/statements/2010/apr/09/paul-workman/workman-says-turner-didnt-vote-five-consecutive-go/	
Paul Workman	3	"Holly Turner... still takes her homestead (property tax) exemption in Fort Worth."	Her husband claimed an exemption for the 2009 tax year	/texas/statements/2010/feb/23/paul-workman/workman-says-turner-claims-her-homestead-exemption/	
Atlanta Journal-Constitution	0	The proposed transportation tax plan revokes a tax-credit for consumers electric cars while the state retains similar credits for similar vehicles for businesses.	State senate now weighing transportation plan	/georgia/statements/2015/mar/16/atlanta-journal-constitution/bill-would-nix-consumers-tax-break-electric-vehicl/	
Maureen Dowd	0	Says Ron Paul insisted FEMA should be shut down.	He's no fan	/texas/statements/2011/sep/03/maureen-dowd/maureen-dowd-says-ron-paul-insisted-closing-fema/	
Matt Miller	0	"Switzerland and the Netherlands . . .  cover all their citizens using private insurers, and they do so for much less cost."	Yes, universal coverage doesn't have to mean socialized medicine	/truth-o-meter/statements/2009/sep/09/matt-miller/analyst-says-netherlands-switzerland-achieve-unive/	
Matt Miller	1	Says Rep. Paul Ryans budget "roadmap  doesn't balance the budget until the 2060s and  adds an unthinkable $62 trillion to the national debt between now and then."	Correct up to 2063. By 2080, the debt disappears	/truth-o-meter/statements/2011/mar/03/matt-miller/matt-miller-blasts-deficit-debt-implications-paul-/	
Jim Keffer	0	"The costs of cancer and all affiliated issues are over $20 billion a year to this state."	Research supports representative's figure	/texas/statements/2011/apr/18/jim-keffer/texas-rep-jim-keffer-says-cancer-and-related-issue/	
Todd Hunter	3	Says real estate taxes were put in place to pay for Obamacare.	Investment tax affecting very few	/texas/statements/2012/dec/06/todd-hunter/todd-hunter-says-obamacare-funded-real-estate-taxe/	
Michael Reese	0	If we had the same staffing ratio (of officers to residents) as Seattle, we'd have 300 more officers in our department."	Book 'em, Danno	/oregon/statements/2011/apr/21/michael-reese/chief-reese-says-if-portland-were-seattle-bureau-w/	
Steve Forbes	2	"Two-thirds of the people who start out in minimum wage are above the minimum wage within a year."	Closer to half	/punditfact/statements/2014/feb/16/steve-forbes/steve-forbes-says-two-thirds-people-who-earn-minim/	
Andy Gardiner	4	A proposed revenue smart cap "gives Floridians a voice, requiring a 60 percent vote by citizens in order to impose a new tax, fee, license, fine, charge or assessment."	A less than brilliant claim about smart cap	/florida/statements/2011/mar/16/andy-gardiner/majority-leader-andy-gardiner-says-smart-cap-bill-/	
Daily Caller	4	"Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obamas political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election"	Hype over substance	/new-hampshire/statements/2014/nov/04/daily-caller/jeanne-shaheen-hit-last-minute-attack-over-lois-le/	
Joshua Miller	2	"In the period from 2007 to 2011, the Office of Health Insurance Commissioner reported an 18 percent decline in the states total medical spending."	Per-capita spending is up	/rhode-island/statements/2013/mar/16/joshua-miller/rhode-island-sen-joshua-miller-says-states-total-m/	
Peter Schweizer	0	"Of the 13 (Bill) Clinton speeches that fetched $500,000 or more, only two occurred during the years his wife was not secretary of state."	Totaling about $7 million	/punditfact/statements/2015/apr/26/peter-schweizer/fact-checking-clinton-cash-author-claim-about-bill/	
Peter Schweizer	4	"Amendments (Hillary Clinton) supported and voted for in 2006, she no longer supported in 2008," showing she changed positions on an India nuclear deal.	She supported the deal all along	/punditfact/statements/2015/may/06/peter-schweizer/clinton-cash-author-hillary-changed-positions-indi/	
David Alameel	2	"More than 40,000 troops are still stationed in Afghanistan with no clear objective. Even in the best case, by the end of the year at least 10,000 American soldiers will still be on the ground."	When in doubt, call the Pentagon	/texas/statements/2014/feb/21/david-alameel/david-alameel-airs-outdated-count-us-troops-afghan/	
David Alameel	4	Says he lived in a colonia while working as a farm worker.	La Colonia wasn't a colonia	/texas/statements/2014/jul/02/david-alameel/alameel-lived-la-colonia-community-it-wasnt-coloni/	
David Alameel	5	Says John Cornyn dodged the draft during the Vietnam War.	Firing a blank	/texas/statements/2014/jul/31/david-alameel/david-alameels-claim-john-cornyn-dodged-his-draft-/	
Pari Sabety	2	"The (Ohio) economy is on the mend.  It is in better shape than it was when we took office."	Guess which half of her statement is way off base	/ohio/statements/2010/nov/19/pari-sabety/state-budget-director-pari-sabety-says-ohios-econo/	
Democratic Congressional Campaign Committee	1	"Vern Buchanan. His old business was caught illegally funneling over $60,000 in campaign donations to Buchanan to influence his election."	Did Buchanan know? Who knows!	/florida/statements/2011/jun/24/democratic-congressional-campaign-committee/ad-claims-rep-vern-buchanans-old-business-illegall/	
Democratic Congressional Campaign Committee	2	Says David Jollys former firm lobbied "for hundreds of millions (of dollars) for a dictator in Pakistan."	Jolly didn't, but his employer did	/florida/statements/2014/jan/27/democratic-congressional-campaign-committee/democrats-say-david-jollys-old-firm-lobbied-millio/	
Democratic Congressional Campaign Committee	2	Says Jim Renacci ran against the Washington establishment in the election, but is now "hypocritically embracing it with big money, special interest fundraisers."	PAC cash accounts for about 15 percent of campaign contributions	/ohio/statements/2010/dec/13/democratic-congressional-campaign-committee/democratic-congressional-campaign-committe-takes-l/	
Democratic Congressional Campaign Committee	2	"Rigell's car dealership made over $400,000 off the Cash for Clunkers bailout."	Rigell's dealerships profited, but they didn't make $400,000	/virginia/statements/2010/oct/29/democratic-congressional-campaign-committee/dccc-says-scott-rigells-car-dealership-made-over-4/	
Democratic Congressional Campaign Committee	2	Tom Ganley has "two F's from the Better Business Bureau" and "over 160 complaints in just three years."	The overall average for Ohio's largest auto dealer is B+	/ohio/statements/2010/oct/21/democratic-congressional-campaign-committee/democrats-target-tom-ganley-citing-better-business/	
Democratic Congressional Campaign Committee	2	Says Republican Reid Ribble says stimulus bill failed to jumpstart the economy, but his "roofing company made almost $300,000 off stimulus funded projects."	Sloppiness on both sides leaves subject and source both a little muddy	/wisconsin/statements/2010/oct/20/democratic-congressional-campaign-committee/democratic-group-says-republican-us-house-candidat/	
Democratic Congressional Campaign Committee	3	Frank Guinta voted to make middle class taxpayers pay over a $1,000 more a year in taxes.	Speculative analysis	/new-hampshire/statements/2012/oct/18/democratic-congressional-campaign-committee/democrats-point-votes-om-ryan-budget-evidence-rep-/	
Democratic Congressional Campaign Committee	3	Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.	GOP bill extends all Bush tax cuts	/new-jersey/statements/2012/aug/05/democratic-congressional-campaign-committee/dccc-ad-campaign-targets-house-republicans-wanting/	
Democratic Congressional Campaign Committee	3	U.S. Rep. Allen West wants to bring back earmarks.	Tariff breaks, not earmarks, though both raise pay-to-play concerns	/florida/statements/2012/may/02/democratic-congressional-campaign-committee/dccc-says-allen-west-earmarks/	
Democratic Congressional Campaign Committee	3	Rob Cornilles supports privatizing Medicare.	Supporting a plan that some consider a move toward privatization is not a call for privatization.	/oregon/statements/2012/jan/24/democratic-congressional-campaign-committee/rob-cornilles-supports-privatizing-medicare/	
Democratic Congressional Campaign Committee	3	"Congressman Bill Young voted to cut taxes for millionaires and end your Medicare."	Ryan budget blueprint didn't end Medicare	/florida/statements/2011/sep/07/democratic-congressional-campaign-committee/democrats-say-rep-cw-bill-young-voted-cut-taxes-mi/	
Democratic Congressional Campaign Committee	3	"Rep. Jim Renaccis plan to end Medicare also puts nursing home care for 3,000 seniors in the district in immediate jeopardy."	An element of truth mixed with a lot of misinformation	/ohio/statements/2011/jun/28/democratic-congressional-campaign-committee/dccc-says-rep-jim-renacci-plan-would-jeopardize-nu/	
Democratic Congressional Campaign Committee	3	In slashing $1.7 billion from Social Security, "Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog."	Hyper overstatement bolstered with hyperbole	/ohio/statements/2011/mar/07/democratic-congressional-campaign-committee/dccc-says-rep-jim-renacci-house-gop-would-force-so/	
Democratic Congressional Campaign Committee	4	"Congressman Duffy has long record of voting against VA backlog fixes."	Cherrypicking his veterans votes	/wisconsin/statements/2014/jun/16/democratic-congressional-campaign-committee/democratic-group-says-rep-sean-duffy-voted-against/	
Democratic Congressional Campaign Committee	4	"Congresswoman Ros-Lehtinen has long record of voting against VA backlog fixes."	Cherry-picking her veterans' votes	/florida/statements/2014/jun/06/democratic-congressional-campaign-committee/ileana-ros-lehtinen-voted-against-va-backlog-fixes/	
Democratic Congressional Campaign Committee	4	Says Jim Renacci "opposed increasing combat bonuses for our troops."	"No" on a procedural vote but "Yes" on passage	/ohio/statements/2012/oct/24/democratic-congressional-campaign-committee/dccc-says-jim-renacci-voted-against-combat-bonuses/	
Democratic Congressional Campaign Committee	4	Says Republican U.S. Rep. Sean Duffy "voted against paying our soldiers" and "against increasing combat pay" while voting "to protect his own pay."	He was for troop pay at the same time he was against it	/wisconsin/statements/2012/sep/16/democratic-congressional-campaign-committee/democratic-group-says-duffy-voted-against-pay-incr/	
Democratic Congressional Campaign Committee	4	"Congressman Renacci is under FBI investigation."	Contributions, not the congressman, drew FBI scrutiny	/ohio/statements/2012/jun/21/democratic-congressional-campaign-committee/dccc-claims-fbi-investigating-jim-renacci-over-cam/	
Democratic Congressional Campaign Committee	4	Says Rep. Jim Renacci was "trying to leave town for the holidays without extending your payroll tax cut."	Robocall attack lacks facts	/ohio/statements/2012/jan/05/democratic-congressional-campaign-committee/dccc-says-jim-renacci-was-trying-avoid-voting-payr/	
Democratic Congressional Campaign Committee	4	"Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates."	You can't blame it all on one guy	/ohio/statements/2011/aug/15/democratic-congressional-campaign-committee/democrats-say-republican-rep-bob-gibbs-caused-down/	
Democratic Congressional Campaign Committee	4	"Rep. Robert Hurt voted again today to end Medicare and raise health care costs for Virginia seniors."	Update: Now with new information on costs for current seniors	/virginia/statements/2011/jun/09/democratic-congressional-campaign-committee/dccc-says-hurt-voted-again-end-medicare/	
Democratic Congressional Campaign Committee	5	Says U.S. Rep. Steve Southerland "voted himself health care for life."	Repealing Obamacare doesn't mean lifetime coverage	/florida/statements/2014/oct/08/democratic-congressional-campaign-committee/democrats-accuse-southerland-seeking-health-care-l/	
Democratic Congressional Campaign Committee	5	"Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlais's (TN-04) Republican Majority."	Shaky at the source	/tennessee/statements/2012/aug/01/democratic-congressional-campaign-committee/desjarlais-taking-money-linked-chinese-prostitutio/	
Democratic Congressional Campaign Committee	5	"Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority."	Repetition doesn't improve this claim	/wisconsin/statements/2012/jul/16/democratic-congressional-campaign-committee/democratic-congressional-campaign-committee-says-p/	
Democratic Congressional Campaign Committee	5	"Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Jim Renaccis Republican majority."	'Allegedly' ridiculous	/ohio/statements/2012/jul/12/democratic-congressional-campaign-committee/dccc-claims-money-chinese-prostitution-supports-ji/	
Democratic Congressional Campaign Committee	5	Congressman Scott DesJarlais "is spending his one year anniversary on vacation -- only working 6 days in all of January."	You don't have to be in Washington to get work done	/tennessee/statements/2012/feb/02/democratic-congressional-campaign-committee/dccc-says-republican-freshman-scott-desjarlais-vac/	
Democratic Congressional Campaign Committee	5	Freshman Rep. Bob Gibbs "is spending his one year anniversary on vacation  only working 6 days in all of January."	Discounts any time spent helping constituents, visiting district 	/ohio/statements/2012/jan/16/democratic-congressional-campaign-committee/dccc-says-bob-gibbs-vacationing-congress-all-six-d/	
Democratic Congressional Campaign Committee	5	"Seniors will have to find $12,500 for health care because Republicans voted to end Medicare."	Don't break open the piggy bank!	/truth-o-meter/statements/2011/apr/20/democratic-congressional-campaign-committee/democrats-say-republicans-voted-end-medicare-and-c/	
Democratic Congressional Campaign Committee	5	Congressman Robert Hurt has a plan to cut education by 40 percent.	Time for remedial math at DCCC	/virginia/statements/2011/feb/04/democratic-congressional-campaign-committee/dccc-says-rep-robert-hurt-supports-40-percent-cut-/	
Democratic Congressional Campaign Committee	5	"Sean Duffy backed plan to privatize Social Security."	Such attacks are almost as old as the program itself	/wisconsin/statements/2010/sep/10/democratic-congressional-campaign-committee/democratic-congressional-campaign-committee-says-s/	
Other Space	2	"By declaring that Pluto was no longer a planet, the (International Astronomical Union) put into place a planetary definition that would have even declassified Earth as a planet if it existed as far from the sun as Pluto does."	Earth's demotion not guaranteed	/punditfact/statements/2015/jul/21/other-space/plutos-advocates-say-even-earth-would-not-count-pl/	
Jennifer Williamson	1	Says "One-third of our healthcare dollars go to wasteful insurance billing and bureaucracy."	That's not quite the case in Oregon	/oregon/statements/2012/may/11/jennifer-williamson/do-we-really-spend-nearly-third-health-care-dollar/	
The Family Foundation	0	"The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization."	Lots of evidence	/virginia/statements/2015/may/26/family-foundation/family-foundation-says-us-among-seven-nations-allo/	
Ohio Alliance for Retired Americans	4	Says Ohio Attorney General Mike DeWine is hypocritical for challenging the constitutionality of the new health care law.	Last we checked, voluntary didn't mean "required"	/ohio/statements/2011/jan/17/ohio-alliance-retired-americans/attack-dewines-health-reform-position-voluntarily-/	
Sheila Resseger	1	"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests."	Claim passes the test	/rhode-island/statements/2015/feb/15/sheila-resseger/educator-says-60000-new-york-parents-refused-let-t/	
Cory Booker	0	"Youre more likely to get struck by lightning in Texas" thanfind in-person voter fraud.	Both are rare	/truth-o-meter/statements/2015/aug/18/cory-booker/lightning-strikes-more-common-person-voter-fraud-s/	
Cory Booker	0	Says "right now, we have more military spending than the next 10, 11, 12 countries combined."	Leader of the pack	/new-jersey/statements/2013/feb/10/cory-booker/cory-booker-says-us-military-spending-greater-next/	
Cory Booker	0	Says the Republican Party platform says "pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold" while the Democratic Party platform says "we want to find a way to put more fair rules on campaign finance reform."	Spelled out in the documents	/new-jersey/statements/2012/sep/09/cory-booker/cory-booker-says-views-campaign-finance-reform-hig/	
Cory Booker	0	"The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state."	Money cut, clinics closed	/new-jersey/statements/2012/sep/04/cory-booker/cory-booker-blasts-chris-christie-slashing-funding/	
Cory Booker	0	Says New Jerseys prison system is "61 percent African-American even though our state is just 13 percent black."	Numbers back this statement	/new-jersey/statements/2012/may/21/cory-booker/cory-booker-said-black-people-represent-more-60-pe/	
Cory Booker	0	Says America spends "over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12."	Netherlands is next at 12 percent	/new-jersey/statements/2011/dec/25/cory-booker/cory-booker-says-united-states-spends-more-17-perc/	
Cory Booker	1	"We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders."	Prison-building figure is right, but 'explosion' began earlier	/truth-o-meter/statements/2015/jul/31/cory-booker/was-prison-built-every-10-days-house-fast-growing-/	
Cory Booker	1	"You see 34 people (are) murdered every single day" by gunfire in America.	Not too far off	/new-jersey/statements/2012/dec/27/cory-booker/cory-booker-says-34-americans-are-killed-guns-ever/	
Cory Booker	1	Says New Jersey Devils managing partner Jeff Vanderbeek "froze all those monies during the toughest years in 08-09" and "refused to give the charitable dollars that he was required to give by the contract."	No dollars for 3 of the 4 years	/new-jersey/statements/2012/apr/12/cory-booker/cory-booker-claims-devils-managing-partner-jeff-va/	
Cory Booker	1	Says "if you are shot in the city of Newark, you have over an 80 percent chance that you've been arrested before an average of 10 times."	Shot and killed, not just shot	/new-jersey/statements/2011/oct/24/cory-booker/cory-booker-says-newark-shooting-victims-have-high/	
Cory Booker	1	Says more than eight countries lead the United States in the percentage of college graduates.	Education systems still differ	/new-jersey/statements/2011/aug/03/cory-booker/newark-mayor-cory-booker-claims-united-states-trai/	
Cory Booker	1	Says for the first time in the history of the United States, the government cut taxes during wartime	Taxes down in "war on terrorism"	/new-jersey/statements/2011/jul/14/cory-booker/newark-mayor-cory-booker-says-first-time-history-u/	
Cory Booker	2	Newark is "now home to one-third of all commercial and multi-family development."	UPDATE: By any other measure	/new-jersey/statements/2013/sep/15/cory-booker/cory-booker-claims-newark-represents-third-real-es/	
Cory Booker	2	Says 2012 was the "first year in American history that more minorities are being born than people in the majority."	Wrong year, mayor	/new-jersey/statements/2013/feb/17/cory-booker/cory-booker-says-more-minorities-born-2012-racial-/	
Cory Booker	4	Says under President Barack Obama theres been "the lowest discretionary spending weve had in decades in the United States."	Highest level in about 20 years	/new-jersey/statements/2012/may/28/cory-booker/cory-booker-claims-obama-has-overseen-nations-lowe/	
Cory Booker	4	Says New Jersey Devils managing partner Jeff Vanderbeek "took us into arbitration."	City officials took themselves there	/new-jersey/statements/2012/apr/12/cory-booker/cory-booker-claims-jeff-vanderbeek-took-us-arbitra/	
Cory Booker	4	"We've seen in this last year tremendous things happening, including our unemployment rate come down 2 percentage points."	Less than 1 point year over year	/new-jersey/statements/2012/mar/01/cory-booker/cory-booker-claims-jobless-rate-fell-two-percentag/	
Cory Booker	4	The ACLU didn't call for an investigation (of the Newark police department), they called for an immediate federal monitor.	What investigation?	/new-jersey/statements/2011/jun/22/cory-booker/newark-mayor-cory-booker-says-aclu-sought-monitor-/	
Al Jazeera America	4	The proposed Gogebic iron ore mine is "just up the hill" from the Apostle Islands National Lakeshore caves along Lake Superior.	Up the hill, and more than an hour's drive away	/wisconsin/statements/2014/jun/23/al-jazeera-america/al-jazeera-america-documentary-says-gogebic-iron-o/	
Bob Wirch	0	"Over the course of one four-year term, it costs taxpayers more than $1 million simply to operate" the governors mansion.	With a staff of seven, including the laundress and flower arranger, it all adds up	/wisconsin/statements/2010/nov/21/bob-wirch/state-sen-bob-wirch-says-it-costs-wisconsin-taxpay/	
Bob Wirch	5	Says he "helped bring" Uline company to Kenosha area, "creating 800 local jobs."	Help cited came after the move	/wisconsin/statements/2011/aug/12/bob-wirch/wisconsin-recall-race-dem-state-sen-bob-wirch-clai/	
Joseph Levy	3	Says indoor workers get "less UV than outdoor workers, but they get more melanomas."	They get too much bad UVA, not enough good UVB	/oregon/statements/2013/mar/16/joseph-levy/are-indoor-workers-more-likely-get-melanoma-despit/	
Ann Marie  Buerkle	2	Says that, unlike the U.S. Senate, "even the Libyan government, in the middle of a civil war, passed a budget on June 15, 2011"	Libya did pass a budget in June, but the comparison means little	/truth-o-meter/statements/2011/jul/19/ann-marie-buerkle/rep-ann-marie-buerkle-uses-passage-libyan-budget-s/	
Ann Marie  Buerkle	4	"The Obama Health and Human Services Department is planning to compile a federal health record on all U.S. citizens by 2014," including "each individuals Body Mass Index."	The government won't know your personal flab factor	/truth-o-meter/statements/2010/aug/30/ann-marie-buerkle/ann-marie-buerkle-gop-candidate-says-under-new-hea/	
Lindsey Graham	0	"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes."	98 and 96, in fact	/truth-o-meter/statements/2009/jul/13/lindsey-graham/supreme-court-nominees-got-senate-votes-big-margin/	
Lindsey Graham	0	Joe Biden "voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."	Only as a last resort	/truth-o-meter/statements/2008/sep/01/lindsey-graham/only-as-a-last-resort/	
Lindsey Graham	1	Russia "has an economy the size of Italy."	It might surprise you	/truth-o-meter/statements/2014/jul/27/lindsey-graham/graham-russia-has-economy-size-italy/	
Lindsey Graham	1	South Carolina has a labor shortage, specifically in the meatpacking industry.	True, but why?	/georgia/statements/2013/may/03/lindsey-graham/graham-points-hard-fill-jobs-immigration-debate/	
Lindsey Graham	2	Under sequestration, the military was cut "down to the smallest Army since 1940, the smallest Navy since 1915."	It's not all about ships and troops anymore	/truth-o-meter/statements/2014/oct/05/lindsey-graham/lindsey-graham-army-smallest-1940-navy-smallest-19/	
Lindsey Graham	2	Top U.S. intelligence officials have told"every member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq."	A risk, yes. An immediate threat? No.	/truth-o-meter/statements/2014/aug/10/lindsey-graham/graham-us-intelligence-leaders-predicting-isis-att/	
Lindsey Graham	2	"People come here to have babies. They come here to drop a child. It's called 'drop and leave."	Rich foreigners may do it (legally), but mixed evidence on illegal immigrants	/truth-o-meter/statements/2010/aug/06/lindsey-graham/illegal-immigrants-anchor-babies-birthright/	
