Speaker	Truth-Rating	Statement	PolitiFact explanations	URL
Texas House Democratic Caucus	1	Some neighborhood schools are closing.	Some is seven	/texas/statements/2011/jun/02/texas-house-democratic-caucus/house-democrats-say-neighborhood-schools-are-closi/
Gretchen Carlson	3	The CBO now says the president's health care law will cut the number of full-time jobs in the United States by 2.3 million by 2021.	Confuses jobs with workers	/punditfact/statements/2014/feb/05/gretchen-carlson/carlson-cbo-says-obamcare-will-cut-full-time-jobs-/
Gretchen Carlson	4	Most polls show foreign nations have lower regard for the U.S. now than they did before Obamas time.	"Most polls" do not show what she says	/punditfact/statements/2015/jun/04/gretchen-carlson/gretchen-carlson-most-polls-show-world-has-lower-r/
Michael McCaul	0	When people enter the service, theres not a mental health evaluation.	Many checkups once you're in but not much up front	/truth-o-meter/statements/2014/apr/06/michael-mccaul/mccaul-when-people-enter-service-theres-not-mental/
Michael McCaul	0	I stopped requesting earmarks in 2008.	Earmark-less	/texas/statements/2011/jan/05/michael-mccaul/michael-mccaul-says-he-stopped-requesting-earmarks/
Ohio Federation of Teachers	3	The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.	Claim fails to make the grade	/ohio/statements/2012/mar/28/ohio-federation-teachers/ohio-federation-teachers-says-cleveland-reform-pla/
Oregon Food Bank	2	Oregon, once again, remains among the top five hungriest states in the nation.	It all depends on how you serve the numbers	/oregon/statements/2010/nov/27/oregon-food-bank/oregon-one-nations-most-food-insecure-states-it-am/
Dianne Feinstein	1	No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.	Most polls point that way; two too close to call	/truth-o-meter/statements/2013/apr/22/dianne-feinstein/sen-dianne-feinstein-says-every-national-poll-year/
Dianne Feinstein	1	One out of every five law enforcement officers that's killed is killed with an assault weapon.	It's hard to define 'assault weapon'	/truth-o-meter/statements/2013/jan/29/dianne-feinstein/dianne-feinstein-says-one-five-law-enforcement-off/
Dianne Feinstein	1	We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.	Some countries' insurers are for-profit, but are far more highly regulated	/truth-o-meter/statements/2010/mar/11/dianne-feinstein/feinstein-says-us-only-nation-rely-heavily-profit-/
Dianne Feinstein	4	We have no regulation of drones in the United States in their commercial use.	No regulation? In fact, a ban	/truth-o-meter/statements/2013/mar/11/dianne-feinstein/regulation-commercial-drones/
Leonard Lance	0	The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.	Not since April 2009	/new-jersey/statements/2012/sep/12/leonard-lance/congressman-leonard-lance-claims-us-senate-has-not/
Leonard Lance	0	When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.	Nearly the size of the economy	/new-jersey/statements/2011/nov/21/leonard-lance/leonard-lance-says-when-national-debt-hits-15-tril/
Leonard Lance	1	The Internal Revenue code has ballooned to a 5,600-page, 4 million-word complicated mess that is seven times as long as the Bible with none of the good news.	Too long a read	/new-jersey/statements/2013/may/02/leonard-lance/leonard-lance-claims-federal-tax-code-contains-4-m/
Leonard Lance	1	The United States currently has the highest corporate tax rate in the world.	Same old claim, same ruling	/new-jersey/statements/2013/apr/25/leonard-lance/leonard-lance-claims-us-has-highest-corporate-tax-/
Leonard Lance	2	Recently we have seen our government debt grow by $3.4 trillion during the first 29 months of the Obama administration -- the equivalent of about $4 billion per day.	How much is Obama to blame?	/new-jersey/statements/2011/jul/28/leonard-lance/us-rep-leonard-lance-says-government-debt-has-grow/
Rand Paul	0	(Hillary Clinton's State Department) actually admonished one of her ambassadors because he wasnt using the proper server.	The ambassador used Gmail, from his bathroom	/truth-o-meter/statements/2015/jul/26/rand-paul/rand-paul-says-hillary-clinton-admonished-one-her-/
Rand Paul	0	Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour.	No joke	/new-hampshire/statements/2015/apr/24/rand-paul/did-state-department-really-send-three-comedians-i/
Rand Paul	0	Washington has incentivized the militarization of local police precincts.	It's an incentive, but not the root cause	/truth-o-meter/statements/2014/aug/21/rand-paul/rand-paul-says-federal-program-incentivizes-police/
Rand Paul	0	It cost us more to shut the government down than to keep it open.	It was costly to the government and the economy	/truth-o-meter/statements/2014/aug/07/rand-paul/rand-paul-rightly-says-government-shutdown-was-mor/
Rand Paul	0	Why didn't (uninsured Americans) buy insurance? Because of the expense.	Surveys confirm cost is biggest obstacle	/truth-o-meter/statements/2013/aug/15/rand-paul/rand-paul-daily-show-says-cost-biggest-barrier-uni/
Rand Paul	0	There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money.	Actually, opposition was even higher	/truth-o-meter/statements/2013/jul/11/rand-paul/rand-paul-says-gallup-poll-found-70-percent-egypti/
Rand Paul	0	When (John) Brennan ... was asked directly  Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.	That's what he said	/truth-o-meter/statements/2013/mar/12/rand-paul/rand-paul-says-cia-director-john-brennan-claimed-n/
Rand Paul	0	We now consume at the federal level 25 percent of the gross domestic product. Historically we were at 20 percent. So we've taken 5 percent away from the private sector.	Yes, spending is up as a share of GDP	/truth-o-meter/statements/2010/nov/15/rand-paul/rand-paul-says-federal-spending-has-risen-25-perce/
Rand Paul	1	There's never been a direct Supreme Court case on people who were here illegally, whether or not their kids are citizens.	Still, there's long-standing precedent for birthright citizenship	/truth-o-meter/statements/2015/sep/18/rand-paul/rand-paul-says-legality-birthright-citizenship-not/
Rand Paul	1	The Fourth Amendment was what we fought the Revolution over. John Adams said it was the spark that led to our war for independence.	One cause, not the only one	/truth-o-meter/statements/2015/aug/07/rand-paul/rand-paul-says-fourth-amendment-was-what-we-fought/
Rand Paul	1	We borrow a million dollars every minute.	Paul rounds up	/truth-o-meter/statements/2015/jul/21/rand-paul/rand-paul-us-borrows-1-million-minute/
Rand Paul	1	$2.4 million of the NIH dollars was spent on origami condoms.	But not your traditional origami	/virginia/statements/2014/oct/27/rand-paul/rand-paul-says-nih-spent-24-million-origami-condom/
Rand Paul	1	The president won the youth vote 3 to1, but his numbers have dropped 20, 30 percent among the youth.	Ratio off; percent change on target	/truth-o-meter/statements/2014/mar/09/rand-paul/sen-paul-says-obama-lost-youth-support/
Rand Paul	1	The interest on the debt now is going to approach in the next couple of years ... what we spend in the national defense budget.	It probably will, but not as quickly as suggested	/truth-o-meter/statements/2010/nov/08/rand-paul/rand-paul-says-federal-interest-burden-will-approa/
Rand Paul	2	When you look at the earned income tax credit, it has about a 25 percent fraud rate. We're looking at $20 billion to $30 billion.	25 percent is error, not fraud, rate	/truth-o-meter/statements/2015/jan/30/rand-paul/rand-paul-says-earned-income-tax-credit-has-25-per/
Rand Paul	2	Income inequality is worse in towns run by Democrat mayors than in towns run by Republican mayors.	Correlation does not equal causation	/truth-o-meter/statements/2014/sep/16/rand-paul/rand-paul-says-income-inequality-worse-cities-demo/
Rand Paul	2	Eighty-five percent of government's running right now. Only 15 percent of government spending is shut down.	Most spending goes on, even as many employees are furloughed	/truth-o-meter/statements/2013/oct/04/rand-paul/rand-paul-says-only-15-percent-federal-spending-be/
Rand Paul	2	We've seen priests beheaded by the Islamic rebels on the other side. We've also seen an Islamic rebel eating the heart of a soldier.	Exaggerations of brutality but the deaths are real	/truth-o-meter/statements/2013/sep/10/rand-paul/rand-paul-syrian-rebels-behead-priests-and-eat-hea/
Rand Paul	2	When the president's spokesman was asked about (Anwar) al-Awlaki's son,  he said he should have chosen a more responsible father.	Robert Gibbs said it when pressed by activist group	/truth-o-meter/statements/2013/mar/07/rand-paul/rand-paul-challenges-obama-spokesmans-comment-son-/
Rand Paul	4	The founders of New Hampshire came up with the motto Live Free or Die.	Words and motto came after founding	/new-hampshire/statements/2015/apr/10/rand-paul/liberty-themed-speech-rand-paul-attributed-nh-mott/
Rand Paul	4	Over half the people on disability are either anxious or their back hurts.	It's much, much less	/truth-o-meter/statements/2015/jan/16/rand-paul/rand-paul-says-most-people-receive-disability-back/
Rand Paul	4	The president is advocating a drone strike program in America.	No advocacy we could find	/truth-o-meter/statements/2013/mar/07/rand-paul/sen-rand-paul-says-obama-advocating-drone-strike-p/
Rand Paul	4	The average federal employee makes $120,000 a year. The average private employee makes $60,000 a year.	For starters, that includes salary plus benefits	/truth-o-meter/statements/2010/nov/11/rand-paul/rand-paul-says-federal-workers-paid-120000-private/
Marc Thiessen	4	Barack Obama has gone from blaming George W. Bush to plagiarizing George W. Bush.	No rip-off here	/punditfact/statements/2014/jan/29/marc-thiessen/gop-speechwriter-obama-plagiarized-george-w-bush/
Maria Cardona 	2	The Republican Party has the worst reputation in American polling of any political party in history.	Republicans have bounced back in recent polls	/punditfact/statements/2014/sep/12/maria-cardona/liberal-pundit-gop-has-worst-reputation-american-p/
Kasim Reed	0	The minimum number of infrastructure (needs) in Atlanta is $900 million.	$250 million bond issue expected	/georgia/statements/2014/aug/12/kasim-reed/mayor-gives-conservative-estimate-city-needs/
Kasim Reed	0	State law says that once the state appraises a piece of property, they can only pay it a certain amount above appraisal.	Upon further review	/georgia/statements/2013/aug/26/kasim-reed/mayor-correct-state-stadium-spending-limitations/
Kasim Reed	1	Peachtree and Pine is one of the leading sites for tuberculosis in the nation.	Mayor Reeds wants shelter closed	/georgia/statements/2015/aug/19/kasim-reed/tb-real-concern-controversial-atlanta-shelter/
Kasim Reed	1	Right now, we only keep 50 percent of Georgia Tech's graduates.	Going, going, gone?	/georgia/statements/2014/feb/11/kasim-reed/mayor-working-keep-more-tech-grads/
Kasim Reed	1	We also have, in a park thats not far from here, an ability to build a reservoir that can hold a 30-day water supply for the city of Atlanta.	H2O yes!	/georgia/statements/2012/mar/19/kasim-reed/mayors-math-reservoir-not-wet/
Kasim Reed	2	you cannot implement Paul Ryans plan without allowing for any increases in revenue.	Debate anyone?	/georgia/statements/2012/sep/28/kasim-reed/kasim-reed-says-numbers-dont-work-paul-ryans-budge/
Kasim Reed	2	We have cut crime across every single zone in the city of Atlanta by between 10 percent and 16 percent, depending on the zone.	Reed zones out on numbers	/georgia/statements/2012/jan/27/kasim-reed/atlanta-crime-down-details-inaccurate/
Kasim Reed	2	Five members of [the Common Cause Georgia] board accepted maximum campaign contributions.	Hizzoner's verbal blast needs some more context	/georgia/statements/2012/jan/12/kasim-reed/mayor-reed-fires-back-watchdog-group/
Michael Medved	2	More whites than blacks are victims of deadly police shootings.	Ignores that whites far outnumber blacks	/punditfact/statements/2014/aug/21/michael-medved/talk-show-host-police-kill-more-whites-blacks/
Thomas Sgouros Jr.	4	[If] you apply for a job, the chances are 1 in 7 that you are going to be denied that job unfairly if everybody is forced to use E-Verify.	Claim is De-Verified	/rhode-island/statements/2012/jan/10/thomas-sgouros-jr/columnist-thomas-sgouros-jr-says-federal-e-verify-/
U.S. Chamber of Commerce	1	A Florida judge ruled parts of Obamacare unconstitutional.	What about those other judges?	/florida/statements/2012/may/18/us-chamber-commerce/attack-against-alan-grayson-chamber-points-florida/
U.S. Chamber of Commerce	2	As Virginias governor, Allen cut spending and waste with bipartisan support.	Overall spending went up, but some programs were cut	/virginia/statements/2012/feb/23/us-chamber-commerce/us-chamber-says-george-allen-cut-spending-and-wast/
U.S. Chamber of Commerce	2	Obamacare (hit) Americans with over $500 billion in new taxes.	Counts more than taxes, ignores subsidies	/truth-o-meter/statements/2012/feb/16/us-chamber-commerce/chamber-commerce-ad-says-obamacare-hit-americans-o/
U.S. Chamber of Commerce	3	Obamacare could cause 20 million people to lose their current coverage.	This one again?	/florida/statements/2012/may/21/us-chamber-commerce/chamber-commerce-claims-20-million-people-will-los/
U.S. Chamber of Commerce	3	Seniors will see $500 billion in Medicare cuts to fund Obamacare.	Medicare spending will continue to grow	/florida/statements/2012/may/15/us-chamber-commerce/chamber-says-bill-nelson-voted-cut-medicare-500-bi/
U.S. Chamber of Commerce	4	Obamacare ... will kill jobs across America.	No more true now than when we rated it a year ago	/truth-o-meter/statements/2012/feb/15/us-chamber-commerce/us-chamber-commerce-ad-attacking-tim-kaine-says-he/
Joe Gibbons	3	Polls show that Floridians don't want to repeal the Affordable Care Act.	More Floridians favor repeal in two recent polls	/florida/statements/2011/may/05/joe-gibbons/democratic-state-rep-joe-gibbons-says-floridians-d/
Ezekiel Emanuel	3	The insurance companies are making that choice (to cancel or change policies), not the president.	Changes prompted by law	/punditfact/statements/2013/nov/03/ezekiel-emanuel/ezekiel-emanuel-says-insurance-companies-canceling/
David Sciarra	1	By any measure, New Jersey has one of the most segregated school systems in the country.	Divided, yes; but segregation?	/new-jersey/statements/2011/jul/17/david-sciarra/new-jersey-education-law-center-director-says-stat/
Dave Brat	0	Ill be the only economist in the (U.S.) House.	Doctor in the House	/virginia/statements/2014/nov/09/dave-brat/brat/
Dave Brat	1	In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!	A rosier scenario exists	/virginia/statements/2015/jun/16/dave-brat/brat-says-entitlement-and-debt-payments-will-consu/
Dave Brat	1	...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.	Right on testing, off on spending	/virginia/statements/2015/mar/02/dave-brat/brat-us-school-spending-375-percent-over-30-years-/
Dave Brat	3	Since President Obama took office in January 2009, the federal government has issued more than 468,500 pages of regulations.	A misreading claim	/virginia/statements/2015/mar/30/dave-brat/dave-brat-says-obama-has-issued-468500-pages-regul/
Dave Brat	4	I was one of the few, very few, who voted `no on the Iran deal.	The deal hasn't come up for a vote yet	/virginia/statements/2015/aug/31/dave-brat/brat-says-hes-among-very-few-who-voted-against-ira/
Dave Brat	4	In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.	U.S. scores aren't that bad	/virginia/statements/2014/nov/02/dave-brat/brat-says-us-students-scoring-bottom-math-and-scie/
Frank Lautenberg	0	In 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of New Jersey.	Billion-dollar industry	/new-jersey/statements/2012/dec/09/frank-lautenberg/frank-lautenberg-says-new-jersey-tourism-generates/
Frank Lautenberg	0	in our gun laws were allowing domestic abusers to sidestep this ban on getting a gun. The loophole allows a convicted abuser to walk into a gun show and walk out with a gun, no questions asked.	Unless states restrict it	/new-jersey/statements/2012/may/03/frank-lautenberg/frank-lautenberg-claims-loophole-allows-individual/
Frank Lautenberg	0	Last year we spent more than $40 billion on highways. And Lord knows we need that. But that's more than we spent on Amtrak in its entire 40-year history.	Money's in highways	/new-jersey/statements/2011/dec/05/frank-lautenberg/Lautenberg-says-federal-highway-spending-last-year/
Frank Lautenberg	1	When we look at the number of murders in the United States (in) 2009, we had 9,500 people murdered. When we look around the world, we see ... large countries, the U.K., Germany, Japan had 200 or less killed in a year.	The differences are dramatic	/truth-o-meter/statements/2011/jan/13/frank-lautenberg/frank-lautenberg-says-us-has-9500-gun-murders-year/
Frank Lautenberg	2	Guns have murdered more Americans here at home in recent years than have died on the battlefields of Iraq and Afghanistan.	A flawed comparison	/new-jersey/statements/2012/aug/06/frank-lautenberg/frank-lautenberg-says-gun-violence-claimed-more-am/
Frank Lautenberg	2	Just remember this: the president's health care bill put 30 million people on health care rolls that weren't there before.	Still four years away	/new-jersey/statements/2012/may/11/frank-lautenberg/frank-lautenberg-claims-national-health-care-refor/
Frank Lautenberg	3	Since 2004, there have been some 1,300 attacks (on rail targets). Four thousand people have died. Thousands of injuries.	Numbers are off, but threat's real	/new-jersey/statements/2011/jun/28/frank-lautenberg/us-sen-frank-lautenberg-claims-rail-targets-have-c/
Gary Schaer	0	Hair stylists are required to undergo more government scrutiny than foreclosure consultants.	New name, new regulations	/new-jersey/statements/2011/aug/21/gary-schaer/assemblyman-gary-schaer-claims-hair-stylists-face-/
Glenford Shibley	1	Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.	Not quite a bull's-eye.	/rhode-island/statements/2012/mar/07/glenford-shibley/state-sen-glenford-shibley-says-rhode-island-only-/
J.D. Alexander	2	The Constitution doesn't allow the governor to not-spend appropriations funds.	Maybe, but Scott still holds most of the cards	/florida/statements/2011/feb/17/jd-alexander/senator-makes-point-about-rick-scotts-authority-ni/
J.D. Alexander	5	It takes as much energy to make a solar panel as it likely generates in its entire life.	Solar panels have long earned their keep	/florida/statements/2010/sep/28/jd-alexander/solar-panels-make-far-more-energy-they-require/
Chris Van Hollen	1	The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.	The GOP would cut lots of other things, but those programs are on the list	/truth-o-meter/statements/2011/apr/15/chris-van-hollen/chris-van-hollen-says-gop-has-demanded-deep-cuts-e/
Chris Van Hollen	1	Between the year 2000 and 2006, (insurance) premiums in this country doubled.	Pretty close to double	/truth-o-meter/statements/2011/jan/19/chris-van-hollen/rep-chris-van-hollen-says-insurance-premiums-doubl/
Frederica Wilson	0	We closed that plant down. It was a $27 million-dollar plant, operating full steam, and we closed it down.	She rallied the students and took them to meetings	/florida/statements/2011/mar/07/frederica-wilson/frederica-wilson-claims-credit-closing-garbage-pla/
Frederica Wilson	3	Congresswoman Frederica Wilson successfully postpones closure of the North Perry airport tower.	Facing lawsuits, the FAA made a nationwide decision	/florida/statements/2013/apr/10/frederica-wilson/frederica-wilson-says-she-stopped-broward-airport-/
Sandra Stotsky	4	Common Core expects English teachers to spend at least half of their reading instructional time at every grade level on informational texts.	'The Great Gatsby' can live on	/florida/statements/2013/oct/21/sandra-stotsky/common-core-expects-english-teachers-spend-half-th/
Tavis Smiley	2	One out of two Americans  are living either in or near poverty. That means 150 million Americans, half of us.	One Census Bureau number supports it, but it's an unofficial one	/truth-o-meter/statements/2012/apr/23/tavis-smiley/tavis-smiley-says-one-out-two-americans-are-living/
Tavis Smiley	3	This (Ebola) is not as bad as SARSwas in 2003.	Ebola is the bigger humanitarian crisis	/punditfact/statements/2014/oct/19/tavis-smiley/tavis-smiley-says-ebola-outbreak-not-bad-sars-outb/
Stephen Carter	1	More than 70 percent of American adults have committed a crime that could lead to imprisonment.	We're all a little guilty	/punditfact/statements/2014/dec/08/stephen-carter/watch-out-70-us-have-done-something-could-put-us-j/
Al Hunt	0	Crime is down in Arizona.	Yes, state and federal stats show crime is down	/truth-o-meter/statements/2010/jul/07/al-hunt/bloombergs-al-hunt-says-crime-down-arizona/
Al Hunt	4	This is not a mosque. It's a cultural center that has a prayer area.	It's an Islamic cultural center, with a mosque	/truth-o-meter/statements/2010/aug/23/al-hunt/ground-zero-mosque-not-even-mosque/
Kathleen Murphy	1	The NRA supported background checks...	Many caveats to NRA's support	/virginia/statements/2014/nov/24/kathleen-murphy/kathleen-murphy-has-rosy-memory-nras-past-support-/
Xi Jinping 	3	China has made enormous progress in its human rights. That is a fact recognized by all the people in the world.	We suspect this post will be blocked in China	/truth-o-meter/statements/2014/nov/17/xi-jinping/chinese-president-world-agrees-china-had-made-enor/
John Mica	4	On the question on the DREAM Act, no -- no to granting lower tuition to illegals.	Tuition rates are left up to states	/florida/statements/2010/dec/14/john-mica/florida-congressman-says-dream-act-means-lower-tui/
Mary Matalin	4	For the last decade the climate has been cooling.	Global measurements don't show cooling	/truth-o-meter/statements/2009/oct/27/mary-matalin/matalin-claims-earth-cooling/
Dwight Jones	3	Overall we currently have $981 million, almost a billion dollars in active development projects right here in the City of Richmond.	Are finished projects really active?	/virginia/statements/2011/feb/11/dwight-jones/richmond-mayor-dwight-jones-says-city-has-981-mill/
Dale Kooyenga	3	Weve used (generally accepted accounting principles) here in this building the last two years.	Still a big GAAP gap	/wisconsin/statements/2013/sep/22/dale-kooyenga/accountant-says-state-using-tougher-accounting-sta/
Bill Foster	0	Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car.	St. Pete isn't winning a commonsense award	/florida/statements/2013/aug/14/bill-foster/60-percent-st-petersburg-car-thefts-due-keys-left-/
Bill Foster	1	Unemployment in the city of St. Petersburg is below the state average.	Yes, though barely	/florida/statements/2013/oct/17/bill-foster/bill-foster-says-st-petersburgs-unemployment-rate-/
Bill Foster	1	Since I was elected, crime rates have been at their lowest in over a decade.	Big trend trickles down	/florida/statements/2013/jul/19/bill-foster/bill-foster-says-st-petersburg-crime-rates-have-be/
Bill Foster	2	If we don't spend money on a pier, then that money does wipe into the general funds of the city or the county, and if you send it to the county, you never see it again.	2035 is a long way off	/florida/statements/2013/aug/09/bill-foster/st-pete-pier-money-lost-county-foster-says/
Bill Foster	3	Tampa got more (federal housing) money because they scored higher on the blight scoring system, so they've got a much bigger problem than we do.	Let's talk grant formulas!	/florida/statements/2013/sep/18/bill-foster/st-petersburg-mayor-says-tampa-gets-more-federal-h/
Rob Eissler	5	Obesity kills 34 children per hour.	About 34 adults die per hour, according to an outdated estimate	/texas/statements/2011/may/31/rob-eissler/state-rep-rob-eissler-says-34-children-die-obesity/
Dave Joyce	0	47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.	This claim on solid ground	/ohio/statements/2013/jun/12/dave-joyce/rep-dave-joyce-says-irs-must-carry-out-47-provisio/
Dave Joyce	0	There are 3 million jobs that go vacant each month in this country.	Help wanted	/ohio/statements/2013/feb/19/dave-joyce/rep-dave-joyce-says-millions-us-jobs-go-unfilled-e/
Mary Nolan	2	Amanda Fritz publicly claimed to be endorsed by NARAL Pro-Choice Oregon, both on her website and in the voters guide.	Mary Nolan is the only candidate endorsed by NARAL in the race	/oregon/statements/2012/may/01/mary-nolan/did-amanda-fritz-inaccurately-claim-endorsement-na/
Organizing for America	2	An overwhelming majority of Americans support passage of the DREAM Act, which would provide a path to citizenship for undocumented youth willing to work for a college degree or serve in our armed forces.	Words matter, especially in polls	/texas/statements/2010/dec/10/organizing-america/arm-democratic-national-committee-says-americans-o/
AFSCME	1	While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.	Not a great chapter in the Bain story	/florida/statements/2012/jan/23/afscme/was-mitt-romney-director-company-charged-medicare-/
AFSCME	2	Jim Renacci supports a national sales tax of 23 percent.	He's been clear that he also wants other taxes eliminated	/ohio/statements/2010/aug/19/afscme/afscme-accuses-republican-jim-renacci-supporting-2/
Stephen Wise	4	Every person on death row was a foster kid.	Hardened killers, yes; all from foster care, no	/florida/statements/2011/apr/25/steve-wise/sen-stephen-wise-says-everybody-death-row-was-fost/
Sherrod Brown	0	Three in four low-income workers dont have any paid sick days available.	Double trouble: Low pay and don't get sick	/ohio/statements/2013/feb/11/sherrod-brown/sen-sherrod-brown-says-three-quarters-low-income-w/
Sherrod Brown	0	There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.	Claim is good ore, despite campaign lore	/ohio/statements/2012/oct/31/sherrod-brown/sherrod-brown-says-coal-jobs-and-coal-production-b/
Sherrod Brown	0	Rooting for the Red Sox is like rooting for the drug companies.	High, hard one hurled in defense of team honor	/ohio/statements/2011/aug/29/sherrod-brown/sen-sherrod-brown-likens-rooting-red-sox-rooting-d/
Sherrod Brown	0	Foreign companies in the United States have a significantly higher unionization rate than other companies overall.	It's nearly double the overall private-sector rate	/ohio/statements/2011/apr/25/sherrod-brown/sen-sherrod-brown-says-unionization-rates-are-high/
Sherrod Brown	0	Hitler didn't want unions. Stalin didn't want unions. Mubarak didn't want independent unions. These autocrats in history don't want independent unions.	Statement caused a stir, but is historically accurate	/ohio/statements/2011/mar/08/sherrod-brown/sen-sherrod-brown-says-hitler-stalin-and-mubarek-a/
Sherrod Brown	0	For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated.	Job creation numbers outpace other federal programs	/ohio/statements/2011/mar/03/sherrod-brown/sen-sherrod-brown-touts-business-incubators-job-cr/
Sherrod Brown	0	Fifteen years ago, the assets of the six largest banks in this country totaled 17 percent of GDP ... The assets of the six largest banks in the United States today total 63 percent of GDP.	Big banks getting bigger	/truth-o-meter/statements/2010/apr/27/sherrod-brown/six-largest-banks-getting-bigger-brown-said/
Sherrod Brown	1	More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life.	Rate is high for all young men	/ohio/statements/2012/jan/23/sherrod-brown/sherrod-brown-says-unemployment-among-young-vets-t/
Sherrod Brown	1	Eighty-seven percent of private insurance plans currently include (abortion) coverage.	A high percentage, but data is nearly a decade old 	/ohio/statements/2011/may/16/sherrod-brown/sen-sherrod-brown-critical-house-bills-potential-i/
Sherrod Brown	1	Understand, this is unemployment insurance. Its not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when youre working. You get help when youre not.	Generally correct, but extended benefits work differently	/ohio/statements/2010/dec/07/sherrod-brown/brown-says-congress-needs-show-compassion-and-exte/
Sherrod Brown	2	While Mandel's been busy traveling the country raising campaign money, he hasn't shown up for work.	Treasurer's office hasn't closed its doors when he's gone	/ohio/statements/2012/oct/04/sherrod-brown/sherrod-brown-ad-claims-josh-mandel-raised-campaig/
Sherrod Brown	2	We buy 35 percent of all Chinese exports.	Slip of the tongue doesn't destroy underlying point	/ohio/statements/2011/oct/20/sherrod-brown/sherrod-brown-says-35-percent-chinas-exports-land-/
Sherrod Brown	5	When Josh Mandel claims to have accepted three debates with Sen. Sherrod Brown, he is lying. He has accepted ZERO proposed debates.	One accepted, others proposed	/ohio/statements/2012/jul/25/sherrod-brown/sherrod-brown-josh-mandel-lying-debates/
John Kasich	0	Right now, Texas doesnt have an income tax and Oklahomas lowering their income tax rates, and guess what their severance tax is? Sky high.	He's not just gushing	/ohio/statements/2013/apr/08/john-kasich/john-kasich-says-oklahoma-texas-have-sky-high-taxe/
John Kasich	0	Under Gov. Kasich, Ohio wages have increased by $10.3 billion.	On the money	/ohio/statements/2013/mar/21/john-kasich/gov-john-kasich-says-ohio-wages-are-more-10-billio/
John Kasich	0	Ninety percent of the topsoil has inadequate moisture to grow crops.	Digging deep for the truth	/ohio/statements/2012/aug/08/john-kasich/ohio-gov-john-kasich-says-drought-has-left-90-perc/
John Kasich	0	Our rainy day fund has gone from 89 cents to $240 million.	He didn't shortchange the truth	/ohio/statements/2012/apr/11/john-kasich/gov-john-kasich-says-rainy-day-fund-has-grown-89-c/
John Kasich	0	We were the No. 1 job creator in America in February and we are now the No. 4 job creator in the last year.	Federal stats make this claim work	/ohio/statements/2012/apr/05/john-kasich/john-kasich-says-ohio-led-all-states-job-creation-/
John Kasich	0	We have had some significant accomplishments on a bipartisan basis.	Looking for bipartisan love	/ohio/statements/2011/nov/29/john-kasich/ohio-gov-john-kasich-says-key-legislation-has-won-/
John Kasich	0	Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio.	Specific cases can be cited	/ohio/statements/2011/oct/03/john-kasich/gov-john-kasich-touts-contacts-companies-create-re/
John Kasich	0	Believe it or not, consumer spending is up over the last eight months.	Up both in raw numbers and adjusted for inflation	/ohio/statements/2011/aug/01/john-kasich/gov-john-kasich-says-consumer-spending-has-actally/
John Kasich	0	We're within 600 miles of 60 percent of America. We're in a perfect location.	Well positioned and open for business	/ohio/statements/2011/may/13/john-kasich/gov-john-kasich-says-60-percent-us-population-with/
John Kasich	0	Our average private sector employee pays 23 percent for their health care. Our average city worker in Ohio pays 9 percent.	Government reports back this claim of premium disparity	/ohio/statements/2011/mar/10/john-kasich/gov-john-kasich-cites-disparity-between-what-priva/
John Kasich	0	We have lost 600,000 jobs over the period of the last 10 years. Only Michigan and California have done worse.	Net loss was even greater from the peak in May 2000	/ohio/statements/2011/mar/04/john-kasich/gov-john-kasich-says-only-california-and-michigan-/
John Kasich	0	I think [a little] less than half of the people in our prisons are in there for less than a year. ... We have people who are check kiters and don't pay child support and we are locking them up in the state pen.	Plugged system now at 133 percent capacity	/ohio/statements/2010/dec/10/john-kasich/gov-elect-john-kasich-correct-nearly-half-ohios-in/
